County,FIPS,Value (Dollars)
United States,0,"78,538"
California,6000,"96,334"
Trinity County,6105,"53,498"
Siskiyou County,6093,"55,499"
Imperial County,6025,"56,393"
Modoc County,6049,"56,648"
Lake County,6033,"58,738"
Sierra County,6091,"60,000"
Humboldt County,6023,"61,135"
Tehama County,6103,"61,834"
Lassen County,6035,"64,395"
Mendocino County,6045,"64,688"
Plumas County,6063,"64,946"
Merced County,6047,"65,044"
Mariposa County,6043,"65,378"
Del Norte County,6015,"66,780"
Kern County,6029,"67,660"
Butte County,6007,"68,574"
Kings County,6031,"68,750"
Tulare County,6107,"69,489"
Glenn County,6021,"70,487"
Fresno County,6019,"71,434"
Shasta County,6089,"71,931"
Tuolumne County,6109,"72,259"
Inyo County,6027,"72,432"
Yuba County,6115,"73,313"
Colusa County,6011,"75,149"
Sutter County,6101,"75,450"
Madera County,6039,"75,496"
Stanislaus County,6099,"79,661"
Calaveras County,6009,"79,877"
Amador County,6005,"81,526"
San Bernardino County,6071,"82,184"
Nevada County,6057,"84,905"
Mono County,6051,"86,953"
Los Angeles County,6037,"87,760"
San Joaquin County,6077,"88,531"
Sacramento County,6067,"88,724"
Yolo County,6113,"88,818"
Riverside County,6065,"89,672"
San Luis Obispo County,6079,"93,398"
Monterey County,6053,"94,486"
Santa Barbara County,6083,"95,977"
Solano County,6095,"99,994"
San Diego County,6073,"102,285"
Sonoma County,6097,"102,840"
El Dorado County,6017,"106,190"
Ventura County,6111,"107,327"
San Benito County,6069,"108,289"
Napa County,6055,"108,970"
Santa Cruz County,6087,"109,266"
Alpine County,6003,"110,781"
Orange County,6059,"113,702"
Placer County,6061,"114,678"
Contra Costa County,6013,"125,727"
Alameda County,6001,"126,240"
San Francisco County,6075,"141,446"
Marin County,6041,"142,785"
San Mateo County,6081,"156,000"
Santa Clara County,6085,"159,674"
